source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000021,S12000010,5,3,0,0,-5,-2,-5,8,2.7,2.3,1.42
S12000021,S12000011,104,64,34,98,-70,-40,-6,300,100.5,3.5,0.35
S12000021,S12000014,9,25,5,5,-4,16,-4,44,14.7,-5.7,-1.49
S12000021,S12000015,13,9,0,3,-13,-4,-10,25,8.4,4.6,1.60
S12000021,S12000017,9,5,0,7,-9,-4,-2,21,7.0,2.0,0.74
S12000021,S12000018,560,158,347,442,-213,-402,-118,1507,504.6,55.4,2.47
S12000021,S12000019,13,0,0,0,-13,-13,-13,13,4.4,8.6,4.14
S12000021,S12000020,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000021,S12000021,9245,4727,2405,10244,-6840,-4518,999,26621,8913.8,331.2,3.51
S12000021,S12000024,0,0,3,11,3,0,11,14,4.7,-4.7,-2.17
S12000021,S12000026,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000021,S12000027,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000021,S12000028,1226,883,342,1168,-884,-343,-58,3619,1211.8,14.2,0.41
S12000021,S12000029,157,176,88,100,-69,19,-57,521,174.5,-17.5,-1.32
S12000021,S12000030,11,6,0,6,-11,-5,-5,23,7.7,3.3,1.19
S12000021,S12000033,23,59,15,8,-8,36,-15,105,35.2,-12.2,-2.05
